Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
109.0625	-25.22974	-105.9757
109.375	-25.01385	-105.3726
109.6875	-24.94382	-105.4363
110	-24.73522	-106.0211
110.3125	-24.47366	-106.0741
110.625	-24.30048	-105.76
110.9375	-24.11803	-105.6841
111.25	-23.96939	-106.1984
111.5625	-23.7488	-106.4943
111.875	-23.54549	-106.5399
112.1875	-23.42128	-106.8045
112.5	-23.23898	-106.638
112.8125	-23.03188	-107.1971
113.125	-22.8489	-107.232
113.4375	-22.73203	-107.1707
113.75	-22.56883	-107.5258
114.0625	-22.43999	-108.3159
114.375	-22.14713	-108.3211
114.6875	-22.01708	-108.3323
115	-21.83817	-108.1883
115.3125	-21.67905	-108.9824
115.625	-21.42879	-109.3215
115.9375	-21.28826	-110.9899
116.25	-21.26055	-112.5738
116.5625	-21.3148	-112.2023
116.875	-21.33493	-112.0907
117.1875	-21.31238	-111.8037
117.5	-21.30527	-111.4004
117.8125	-21.24527	-110.1898
118.125	-21.00399	-109.0876
118.4375	-20.87947	-108.271
118.75	-20.7086	-107.5105
119.0625	-20.51266	-106.8738
119.375	-20.27019	-106.7352
119.6875	-20.0795	-106.5901
120	-19.84649	-106.8772
120.3125	-19.63391	-106.1519
120.625	-19.51229	-105.273
120.9375	-19.31998	-104.856
121.25	-19.00937	-104.2964
121.5625	-18.75103	-103.9903
121.875	-18.57714	-103.8243
122.1875	-18.29101	-103.5264
122.5	-18.03918	-103.251
122.8125	-17.80882	-103.0656
123.125	-17.53155	-103.2957
123.4375	-17.29542	-103.5328
123.75	-17.04369	-102.9797
124.0625	-16.85815	-103.0095
124.375	-16.64081	-102.9546
124.6875	-16.41634	-102.166
125	-16.15771	-101.5849
125.3125	-15.93146	-101.5581
125.625	-15.56399	-100.7707
125.9375	-15.287	-100.212
126.25	-14.91586	-100.4913
126.5625	-14.56906	-100.2076
126.875	-14.20423	-99.94361
127.1875	-13.84446	-100.0249
127.5	-13.49511	-99.7819
127.8125	-13.13971	-99.81711
128.125	-12.82179	-100.0417
128.4375	-12.41822	-100.3875
128.75	-12.04784	-100.5019
129.0625	-11.6916	-100.984
129.375	-11.33218	-101.1853
129.6875	-10.98535	-100.9259
130	-10.57482	-101.2534
130.3125	-10.16961	-101.42
130.625	-9.751451	-101.6503
130.9375	-9.313512	-101.7763
131.25	-8.877501	-102.443
131.5625	-8.422338	-102.6008
131.875	-7.96279	-102.7575
132.1875	-7.446299	-103.5076
132.5	-6.958437	-103.9659
132.8125	-6.421964	-104.5039
133.125	-5.883455	-105.337
133.4375	-5.30236	-105.9154
133.75	-4.701722	-106.6475
134.0625	-4.078239	-107.7677
134.375	-3.407741	-109.112
134.6875	-2.715433	-110.3595
135	-2.002527	-112.0048
135.3125	-1.225398	-113.6121
135.625	-0.37053	-115.7847
135.9375	0.4976143	-118.3372
136.25	1.394175	-121.5473
136.5625	2.331701	-125.0358
136.875	3.310165	-129.2609
137.1875	4.343016	-134.4417
137.5	5.405882	-140.6768
137.8125	6.477932	-147.8561
138.125	7.532773	-156.7342
138.4375	8.512747	-167.5919
138.75	9.301722	179.3519
139.0625	9.715012	163.8723
139.375	9.526726	147.129
139.6875	8.637388	131.4352
140	7.24293	118.73
140.3125	5.638761	109.8648
140.625	4.071157	104.1735
140.9375	2.660648	100.8659
141.25	1.448928	98.7534
141.5625	0.4267287	97.78924
141.875	-0.4582951	97.05407
142.1875	-1.214482	96.47115
142.5	-1.895084	95.9151
142.8125	-2.516339	95.46566
143.125	-3.092361	95.00009
143.4375	-3.62595	94.66188
143.75	-4.127965	94.6444
144.0625	-4.591362	94.4676
144.375	-5.023538	94.48852
144.6875	-5.422658	94.64364
145	-5.78737	94.73386
145.3125	-6.112489	94.8077
145.625	-6.432035	95.05096
145.9375	-6.707084	95.12898
146.25	-6.972104	94.84654
146.5625	-7.228683	94.98853
146.875	-7.466418	94.90214
147.1875	-7.690096	94.86358
147.5	-7.913597	94.64313
147.8125	-8.149507	94.51571
148.125	-8.367368	94.59975
148.4375	-8.544514	94.52096
148.75	-8.718246	94.25236
149.0625	-8.917927	94.39114
149.375	-9.101824	94.26488
149.6875	-9.272993	94.21745
150	-9.436651	94.35658
150.3125	-9.590156	94.21864
150.625	-9.763862	94.14366
150.9375	-9.904005	94.24362
151.25	-10.05465	94.20138
151.5625	-10.20262	94.28947
151.875	-10.32634	94.4269
152.1875	-10.4739	94.33197
152.5	-10.64346	93.96628
152.8125	-10.7272	94.13588
153.125	-10.81978	93.94686
153.4375	-10.95362	94.05923
153.75	-11.06991	94.07822
154.0625	-11.14986	94.0213
154.375	-11.26224	93.98312
154.6875	-11.38324	93.96599
155	-11.44871	93.86538
155.3125	-11.5524	93.91944
155.625	-11.66848	93.63702
155.9375	-11.7759	93.8786
156.25	-11.83386	93.90806
156.5625	-11.91273	93.84677
156.875	-11.99426	93.97122
157.1875	-12.05167	93.7132
157.5	-12.10593	93.73947
157.8125	-12.21317	93.91047
158.125	-12.23424	93.94977
158.4375	-12.31141	93.71242
158.75	-12.36353	93.76639
159.0625	-12.34595	93.84795
159.375	-12.41224	93.63074
159.6875	-12.45358	93.34797
160	-12.48446	92.92088
160.3125	-12.53479	92.36565
160.625	-12.62994	91.74403
160.9375	-12.73643	91.60829
161.25	-12.84254	91.33998
161.5625	-12.95676	91.31416
161.875	-13.07536	91.16448
162.1875	-13.13205	90.96941
162.5	-13.23134	91.11867
162.8125	-13.35422	91.13297
163.125	-13.44151	91.25356
163.4375	-13.50503	91.5061
163.75	-13.54558	91.9031
164.0625	-13.59545	92.04285
164.375	-13.63438	92.38935
164.6875	-13.68965	92.05021
165	-13.72293	92.30738
165.3125	-13.7715	92.34345
165.625	-13.81395	92.35654
165.9375	-13.84316	92.56371
166.25	-13.83995	92.46503
166.5625	-13.91376	92.48442
