[START] seeds=[0, 1, 2, 3, 4] max_workers=5 device=cpu csv='korns_complexeql_benchmark_results.csv' hdf5='korns_dataset_train_extrap.hdf5'
[WORKER START] seed=0 device=cpu
[WORKER START] seed=1 device=cpu
[WORKER START] seed=3 device=cpu
[WORKER START] seed=4 device=cpu
[WORKER START] seed=2 device=cpu
[WORKER] seed=0 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=0 PID_START P1
[WORKER] seed=1 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=1 PID_START P1
Random seed set as 1791095845
Random seed set as 1319712737
[WORKER] seed=4 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=3 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=4 PID_START P1
[WORKER] seed=3 PID_START P1
Random seed set as 1867650593
Random seed set as 306679169
[WORKER] seed=2 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=2 PID_START P1
Random seed set as 1211952741
[PHASE1 | Epoch 11000] lr=1.00e-03, total=2.3796e-04, data=2.3794e-04, sparsity_reg=1.4968e-08, imag_w=4.5707e-09, active_edges=510
[PHASE1 | Epoch 11000] lr=1.00e-03, total=6.6988e-06, data=6.6773e-06, sparsity_reg=1.6865e-08, imag_w=4.6692e-09, active_edges=510
[PHASE1 | Epoch 12000] lr=1.00e-03, total=1.0496e-03, data=1.0496e-03, sparsity_reg=1.2602e-08, imag_w=3.1116e-09, active_edges=510
[PHASE1 | Epoch 12000] lr=1.00e-03, total=7.7411e-05, data=7.7393e-05, sparsity_reg=1.5140e-08, imag_w=3.4704e-09, active_edges=510
[PHASE1 | Epoch 12000] lr=1.00e-03, total=7.6186e-05, data=7.6169e-05, sparsity_reg=1.3679e-08, imag_w=3.0103e-09, active_edges=510
[PHASE1 | Epoch 12000] lr=1.00e-03, total=2.0648e-05, data=2.0628e-05, sparsity_reg=1.5227e-08, imag_w=4.7644e-09, active_edges=510
[PHASE1 | Epoch 12000] lr=1.00e-03, total=1.0754e-06, data=1.0531e-06, sparsity_reg=1.7069e-08, imag_w=5.1735e-09, active_edges=510
[PHASE1 | Epoch 13000] lr=1.00e-03, total=4.9702e-05, data=4.9685e-05, sparsity_reg=1.3044e-08, imag_w=3.6344e-09, active_edges=510
[PHASE1 | Epoch 13000] lr=1.00e-03, total=6.2069e-04, data=6.2067e-04, sparsity_reg=1.5261e-08, imag_w=3.5485e-09, active_edges=510
[PHASE1 | Epoch 13000] lr=1.00e-03, total=6.6108e-05, data=6.6091e-05, sparsity_reg=1.3887e-08, imag_w=3.2278e-09, active_edges=510
[PHASE1 | Epoch 13000] lr=1.00e-03, total=4.6178e-05, data=4.6158e-05, sparsity_reg=1.5348e-08, imag_w=4.9229e-09, active_edges=510
[PHASE1 | Epoch 13000] lr=1.00e-03, total=1.3110e-04, data=1.3108e-04, sparsity_reg=1.7172e-08, imag_w=5.4443e-09, active_edges=510
[PHASE1 | Epoch 14000] lr=1.00e-03, total=6.6451e-04, data=6.6449e-04, sparsity_reg=1.3316e-08, imag_w=3.9310e-09, active_edges=510
[PHASE1 | Epoch 14000] lr=1.00e-03, total=1.4125e-04, data=1.4123e-04, sparsity_reg=1.5516e-08, imag_w=3.7341e-09, active_edges=510
[PHASE1 | Epoch 14000] lr=1.00e-03, total=1.5046e-04, data=1.5044e-04, sparsity_reg=1.4059e-08, imag_w=3.4503e-09, active_edges=510
[PHASE1 | Epoch 14000] lr=1.00e-03, total=1.3468e-05, data=1.3447e-05, sparsity_reg=1.5622e-08, imag_w=5.1471e-09, active_edges=510
[PHASE1 | Epoch 14000] lr=1.00e-03, total=1.1545e-04, data=1.1542e-04, sparsity_reg=1.7336e-08, imag_w=5.7441e-09, active_edges=510
[PHASE1 | Epoch 15000] lr=1.00e-03, total=2.2503e-04, data=2.2501e-04, sparsity_reg=1.3520e-08, imag_w=4.2699e-09, active_edges=510
[PHASE1 | Epoch 15000] lr=1.00e-03, total=5.9430e-04, data=5.9428e-04, sparsity_reg=1.5953e-08, imag_w=3.9880e-09, active_edges=510
[PHASE1 | Epoch 15000] lr=1.00e-03, total=5.8784e-04, data=5.8783e-04, sparsity_reg=1.4170e-08, imag_w=3.7275e-09, active_edges=510
[PHASE1 | Epoch 15000] lr=1.00e-03, total=8.3993e-06, data=8.3781e-06, sparsity_reg=1.5792e-08, imag_w=5.3444e-09, active_edges=510
[PHASE1 | Epoch 15000] lr=1.00e-03, total=2.7538e-06, data=2.7299e-06, sparsity_reg=1.7623e-08, imag_w=6.2205e-09, active_edges=510
[PHASE1 | Epoch 16000] lr=1.00e-03, total=1.0340e-02, data=1.0340e-02, sparsity_reg=1.3711e-08, imag_w=4.5573e-09, active_edges=510
[PHASE1 | Epoch 16000] lr=1.00e-03, total=1.4915e-04, data=1.4913e-04, sparsity_reg=1.6170e-08, imag_w=4.1776e-09, active_edges=510
[PHASE1 | Epoch 16000] lr=1.00e-03, total=1.1122e-04, data=1.1121e-04, sparsity_reg=1.4178e-08, imag_w=3.8551e-09, active_edges=510
[PHASE1 | Epoch 16000] lr=1.00e-03, total=1.1279e-05, data=1.1257e-05, sparsity_reg=1.6059e-08, imag_w=5.6820e-09, active_edges=510
[PHASE1 | Epoch 16000] lr=1.00e-03, total=6.2693e-05, data=6.2669e-05, sparsity_reg=1.7681e-08, imag_w=6.3293e-09, active_edges=510
[PHASE1 | Epoch 17000] lr=1.00e-03, total=3.2619e-04, data=3.2617e-04, sparsity_reg=1.3992e-08, imag_w=4.8478e-09, active_edges=510
[PHASE1 | Epoch 17000] lr=1.00e-03, total=2.1081e-03, data=2.1081e-03, sparsity_reg=1.6431e-08, imag_w=4.6280e-09, active_edges=510
