Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
235	-12.21042	87.89219
235.3125	-12.14592	87.54449
235.625	-12.16044	87.81621
235.9375	-12.06352	87.73724
236.25	-12.0718	87.58286
236.5625	-12.04148	87.49638
236.875	-12.02644	87.4696
237.1875	-11.98961	87.5131
237.5	-11.96133	87.60464
237.8125	-11.93134	87.28828
238.125	-11.89041	87.33502
238.4375	-11.86821	87.23328
238.75	-11.81137	87.40618
239.0625	-11.78904	87.25079
239.375	-11.77464	87.20403
239.6875	-11.7308	87.08199
240	-11.71255	87.11497
240.3125	-11.72934	87.28281
240.625	-11.6596	87.08034
240.9375	-11.61175	86.8908
241.25	-11.57186	87.03615
241.5625	-11.49745	87.01373
241.875	-11.51899	86.76949
242.1875	-11.47935	86.88582
242.5	-11.4011	87.11063
242.8125	-11.34499	87.0043
243.125	-11.31139	86.83471
243.4375	-11.29398	86.5869
243.75	-11.23489	86.34904
244.0625	-11.34004	85.75613
244.375	-11.38892	86.8217
244.6875	-11.25061	87.19589
245	-11.15884	87.16192
245.3125	-11.07403	87.01646
245.625	-10.99638	87.01823
245.9375	-10.94797	87.01319
246.25	-10.88698	86.65714
246.5625	-10.84536	86.5452
246.875	-10.7811	86.2124
247.1875	-10.73295	86.16061
247.5	-10.6812	85.99688
247.8125	-10.64278	85.95237
248.125	-10.5843	85.94543
248.4375	-10.5206	85.8773
248.75	-10.40869	85.8433
249.0625	-10.35061	85.34901
249.375	-10.26714	85.16295
249.6875	-10.1845	84.89787
250	-10.0656	84.75829
250.3125	-9.921771	84.47536
250.625	-9.738673	84.11337
250.9375	-9.504642	83.13012
251.25	-9.277079	82.3352
251.5625	-8.954738	80.8071
251.875	-8.57363	78.08305
252.1875	-8.056211	73.5653
252.5	-7.669079	64.97481
252.8125	-7.975523	49.44481
253.125	-11.25325	31.84344
253.4375	-15.97657	54.22446
253.75	-14.89506	74.65176
254.0625	-13.83369	80.7258
254.375	-13.19452	82.40944
254.6875	-12.77686	83.20037
255	-12.48077	83.80216
255.3125	-12.24617	84.02279
255.625	-12.10126	83.74049
255.9375	-11.97231	83.89574
256.25	-11.90115	83.91644
256.5625	-11.85172	84.26612
256.875	-11.72516	84.75796
257.1875	-11.58997	84.08242
257.5	-11.62454	83.83469
257.8125	-11.63791	83.9475
258.125	-11.61047	84.2823
258.4375	-11.5987	84.53656
258.75	-11.57051	84.64529
259.0625	-11.55939	84.85173
259.375	-11.52592	84.84747
259.6875	-11.50089	85.24397
260	-11.46998	85.5819
260.3125	-11.45651	85.7053
260.625	-11.41038	85.93755
260.9375	-11.4021	86.20728
261.25	-11.36923	86.45334
261.5625	-11.32002	86.99298
261.875	-11.29438	87.36672
262.1875	-11.24923	87.40945
262.5	-11.16613	87.89318
262.8125	-11.06884	88.22656
263.125	-11.01376	88.21191
263.4375	-10.93968	88.33175
263.75	-10.88784	88.55082
264.0625	-10.79878	88.50398
264.375	-10.74199	88.23363
264.6875	-10.67212	88.32042
265	-10.63317	88.42164
265.3125	-10.53302	88.21776
265.625	-10.50677	88.20345
265.9375	-10.44791	87.99899
266.25	-10.44742	88.39265
266.5625	-10.35732	88.17186
266.875	-10.3815	88.18378
267.1875	-10.29925	88.20827
267.5	-10.27014	88.26842
267.8125	-10.16812	88.13671
268.125	-10.14085	88.12373
268.4375	-10.05433	87.84358
268.75	-10.0547	88.0246
